date,station_id,station_name,area_type,PM2_5,PM10,NO2,O3,AQI
2018-01-01,Tianhe,天河站,商业区,37.6,66.7,12.0,35.0,104
2018-01-01,Yuexiu,越秀站,居民区,42.2,88.9,12.0,35.0,110
2018-01-01,Baiyun,白云站,工业区,47.3,82.9,12.0,35.0,118
2018-01-02,Tianhe,天河站,商业区,43.3,84.6,12.0,35.0,112
2018-01-02,Yuexiu,越秀站,居民区,35.8,68.3,12.0,35.0,101
2018-01-02,Baiyun,白云站,工业区,45.6,77.8,12.0,35.0,115
2018-01-03,Tianhe,天河站,商业区,36.3,51.4,12.0,35.0,102
2018-01-03,Yuexiu,越秀站,居民区,28.5,48.2,12.0,35.0,91
2018-01-03,Baiyun,白云站,工业区,41.6,77.4,12.0,35.0,109
2018-01-04,Tianhe,天河站,商业区,30.2,45.9,12.0,35.0,93
2018-01-04,Yuexiu,越秀站,居民区,47.0,82.4,12.0,35.0,117
2018-01-04,Baiyun,白云站,工业区,49.5,75.0,12.0,35.0,121
2018-01-05,Tianhe,天河站,商业区,32.1,58.6,12.0,35.0,96
2018-01-05,Yuexiu,越秀站,居民区,31.9,59.7,12.0,35.0,96
2018-01-05,Baiyun,白云站,工业区,44.6,77.7,12.0,35.0,114
2018-01-06,Tianhe,天河站,商业区,31.8,69.1,12.0,35.0,95
2018-01-06,Yuexiu,越秀站,居民区,38.4,61.0,12.0,35.0,105
2018-01-06,Baiyun,白云站,工业区,55.0,85.6,12.0,35.0,129
2018-01-07,Tianhe,天河站,商业区,36.1,50.8,12.0,35.0,102
2018-01-07,Yuexiu,越秀站,居民区,30.8,56.7,12.0,35.0,94
2018-01-07,Baiyun,白云站,工业区,54.4,99.8,12.0,35.0,128
2018-01-08,Tianhe,天河站,商业区,34.4,59.8,12.0,35.0,99
2018-01-08,Yuexiu,越秀站,居民区,30.0,49.6,12.0,35.0,93
2018-01-08,Baiyun,白云站,工业区,45.6,91.7,12.0,35.0,115
2018-01-09,Tianhe,天河站,商业区,36.8,53.3,12.0,35.0,103
2018-01-09,Yuexiu,越秀站,居民区,40.4,69.6,12.0,35.0,108
2018-01-09,Baiyun,白云站,工业区,44.0,84.6,12.0,35.0,113
2018-01-10,Tianhe,天河站,商业区,40.4,80.3,12.0,35.0,108
2018-01-10,Yuexiu,越秀站,居民区,33.7,58.5,12.0,35.0,98
2018-01-10,Baiyun,白云站,工业区,51.4,102.6,12.0,35.0,123
2018-01-11,Tianhe,天河站,商业区,32.5,57.3,12.0,35.0,96
2018-01-11,Yuexiu,越秀站,居民区,32.1,50.1,12.0,35.0,96
2018-01-11,Baiyun,白云站,工业区,55.0,113.9,12.0,35.0,129
2018-01-12,Tianhe,天河站,商业区,34.6,69.3,12.0,35.0,99
2018-01-12,Yuexiu,越秀站,居民区,40.6,67.8,12.0,35.0,108
2018-01-12,Baiyun,白云站,工业区,51.7,108.9,12.0,35.0,124
2018-01-13,Tianhe,天河站,商业区,34.8,73.6,12.0,35.0,100
2018-01-13,Yuexiu,越秀站,居民区,23.4,45.9,12.0,35.0,83
2018-01-13,Baiyun,白云站,工业区,49.6,86.4,12.0,35.0,121
2018-01-14,Tianhe,天河站,商业区,35.5,49.8,12.0,35.0,101
2018-01-14,Yuexiu,越秀站,居民区,37.2,69.7,12.0,35.0,103
2018-01-14,Baiyun,白云站,工业区,59.9,101.5,12.0,35.0,136
2018-01-15,Tianhe,天河站,商业区,30.8,52.3,12.0,35.0,94
2018-01-15,Yuexiu,越秀站,居民区,43.8,81.7,12.0,35.0,113
2018-01-15,Baiyun,白云站,工业区,45.1,85.8,12.0,35.0,114
2018-01-16,Tianhe,天河站,商业区,35.5,70.8,12.0,35.0,101
2018-01-16,Yuexiu,越秀站,居民区,34.4,59.7,12.0,35.0,99
2018-01-16,Baiyun,白云站,工业区,46.1,69.5,12.0,35.0,116
2018-01-17,Tianhe,天河站,商业区,36.6,67.7,12.0,35.0,102
2018-01-17,Yuexiu,越秀站,居民区,38.5,67.5,12.0,35.0,105
2018-01-17,Baiyun,白云站,工业区,38.6,66.2,12.0,35.0,105
2018-01-18,Tianhe,天河站,商业区,33.2,54.4,12.0,35.0,97
2018-01-18,Yuexiu,越秀站,居民区,37.6,70.7,12.0,35.0,104
2018-01-18,Baiyun,白云站,工业区,62.9,115.3,12.0,35.0,140
2018-01-19,Tianhe,天河站,商业区,36.4,64.9,12.0,35.0,102
2018-01-19,Yuexiu,越秀站,居民区,27.4,49.2,12.0,35.0,89
2018-01-19,Baiyun,白云站,工业区,49.4,113.4,12.0,35.0,121
2018-01-20,Tianhe,天河站,商业区,34.0,63.2,12.0,35.0,99
2018-01-20,Yuexiu,越秀站,居民区,38.3,60.0,12.0,35.0,105
2018-01-20,Baiyun,白云站,工业区,57.4,112.0,12.0,35.0,132
2018-01-21,Tianhe,天河站,商业区,39.2,63.4,12.0,35.0,106
2018-01-21,Yuexiu,越秀站,居民区,46.6,70.8,12.0,35.0,117
2018-01-21,Baiyun,白云站,工业区,53.3,119.3,12.0,35.0,126
2018-01-22,Tianhe,天河站,商业区,29.8,50.3,12.0,35.0,93
2018-01-22,Yuexiu,越秀站,居民区,39.1,66.4,12.0,35.0,106
2018-01-22,Baiyun,白云站,工业区,37.6,68.2,12.0,35.0,104
2018-01-23,Tianhe,天河站,商业区,29.4,55.7,12.0,35.0,92
2018-01-23,Yuexiu,越秀站,居民区,33.2,70.0,12.0,35.0,97
2018-01-23,Baiyun,白云站,工业区,43.2,75.1,12.0,35.0,112
2018-01-24,Tianhe,天河站,商业区,39.3,61.0,12.0,35.0,106
2018-01-24,Yuexiu,越秀站,居民区,39.8,82.1,12.0,35.0,107
2018-01-24,Baiyun,白云站,工业区,37.2,68.3,12.0,35.0,103
2018-01-25,Tianhe,天河站,商业区,36.4,71.1,12.0,35.0,102
2018-01-25,Yuexiu,越秀站,居民区,31.4,48.2,12.0,35.0,95
2018-01-25,Baiyun,白云站,工业区,52.8,98.2,12.0,35.0,125
2018-01-26,Tianhe,天河站,商业区,36.3,67.9,12.0,35.0,102
2018-01-26,Yuexiu,越秀站,居民区,34.6,63.8,12.0,35.0,99
2018-01-26,Baiyun,白云站,工业区,51.2,84.8,12.0,35.0,123
2018-01-27,Tianhe,天河站,商业区,44.8,84.9,12.0,35.0,114
2018-01-27,Yuexiu,越秀站,居民区,31.6,61.1,12.0,35.0,95
2018-01-27,Baiyun,白云站,工业区,41.8,81.9,12.0,35.0,110
2018-01-28,Tianhe,天河站,商业区,41.1,67.2,12.0,35.0,109
2018-01-28,Yuexiu,越秀站,居民区,44.1,83.0,12.0,35.0,113
2018-01-28,Baiyun,白云站,工业区,55.0,120.0,12.0,35.0,129
2018-01-29,Tianhe,天河站,商业区,33.7,55.6,12.0,35.0,98
2018-01-29,Yuexiu,越秀站,居民区,33.4,54.6,12.0,35.0,98
2018-01-29,Baiyun,白云站,工业区,48.4,90.5,12.0,35.0,119
2018-01-30,Tianhe,天河站,商业区,36.5,71.6,12.0,35.0,102
2018-01-30,Yuexiu,越秀站,居民区,38.6,80.6,12.0,35.0,105
2018-01-30,Baiyun,白云站,工业区,47.1,110.3,12.0,35.0,117
2018-01-31,Tianhe,天河站,商业区,38.3,62.3,12.0,35.0,105
2018-01-31,Yuexiu,越秀站,居民区,32.3,61.3,12.0,35.0,96
2018-01-31,Baiyun,白云站,工业区,47.4,92.0,12.0,35.0,118
2018-02-01,Tianhe,天河站,商业区,42.8,76.5,17.5,24.0,111
2018-02-01,Yuexiu,越秀站,居民区,38.4,57.5,17.5,24.0,105
2018-02-01,Baiyun,白云站,工业区,52.2,103.0,17.5,24.0,125
2018-02-02,Tianhe,天河站,商业区,41.3,64.0,17.5,24.0,109
2018-02-02,Yuexiu,越秀站,居民区,45.1,84.7,17.5,24.0,114
2018-02-02,Baiyun,白云站,工业区,48.6,88.9,17.5,24.0,119
2018-02-03,Tianhe,天河站,商业区,40.3,63.4,17.5,24.0,108
2018-02-03,Yuexiu,越秀站,居民区,46.4,88.7,17.5,24.0,116
2018-02-03,Baiyun,白云站,工业区,65.1,130.9,17.5,24.0,143
2018-02-04,Tianhe,天河站,商业区,31.7,51.2,17.5,24.0,95
2018-02-04,Yuexiu,越秀站,居民区,47.4,90.2,17.5,24.0,118
2018-02-04,Baiyun,白云站,工业区,60.3,155.1,17.5,24.0,136
2018-02-05,Tianhe,天河站,商业区,43.4,88.0,17.5,24.0,112
2018-02-05,Yuexiu,越秀站,居民区,50.3,97.1,17.5,24.0,122
2018-02-05,Baiyun,白云站,工业区,53.4,104.1,17.5,24.0,126
2018-02-06,Tianhe,天河站,商业区,35.4,62.0,17.5,24.0,101
2018-02-06,Yuexiu,越秀站,居民区,40.8,74.1,17.5,24.0,108
2018-02-06,Baiyun,白云站,工业区,75.4,107.6,17.5,24.0,158
2018-02-07,Tianhe,天河站,商业区,44.1,65.2,17.5,24.0,113
2018-02-07,Yuexiu,越秀站,居民区,40.9,82.5,17.5,24.0,108
2018-02-07,Baiyun,白云站,工业区,56.5,89.6,17.5,24.0,131
2018-02-08,Tianhe,天河站,商业区,35.7,69.1,17.5,24.0,101
2018-02-08,Yuexiu,越秀站,居民区,39.2,72.2,17.5,24.0,106
2018-02-08,Baiyun,白云站,工业区,56.4,94.1,17.5,24.0,131
2018-02-09,Tianhe,天河站,商业区,52.9,101.9,17.5,24.0,126
2018-02-09,Yuexiu,越秀站,居民区,30.6,56.3,17.5,24.0,94
2018-02-09,Baiyun,白云站,工业区,50.4,99.4,17.5,24.0,122
2018-02-10,Tianhe,天河站,商业区,35.2,62.6,17.5,24.0,100
2018-02-10,Yuexiu,越秀站,居民区,47.3,93.4,17.5,24.0,118
2018-02-10,Baiyun,白云站,工业区,45.9,79.6,17.5,24.0,116
2018-02-11,Tianhe,天河站,商业区,37.2,62.0,17.5,24.0,103
2018-02-11,Yuexiu,越秀站,居民区,55.7,104.7,17.5,24.0,130
2018-02-11,Baiyun,白云站,工业区,45.4,90.1,17.5,24.0,115
2018-02-12,Tianhe,天河站,商业区,52.7,105.8,17.5,24.0,125
2018-02-12,Yuexiu,越秀站,居民区,34.0,57.9,17.5,24.0,99
2018-02-12,Baiyun,白云站,工业区,66.6,110.5,17.5,24.0,145
2018-02-13,Tianhe,天河站,商业区,42.7,83.4,17.5,24.0,111
2018-02-13,Yuexiu,越秀站,居民区,37.9,67.7,17.5,24.0,104
2018-02-13,Baiyun,白云站,工业区,28.8,45.9,17.5,24.0,91
2018-02-14,Tianhe,天河站,商业区,38.5,59.7,17.5,24.0,105
2018-02-14,Yuexiu,越秀站,居民区,54.8,82.9,17.5,24.0,128
2018-02-14,Baiyun,白云站,工业区,52.3,95.5,17.5,24.0,125
2018-02-15,Tianhe,天河站,商业区,48.6,73.6,17.5,24.0,119
2018-02-15,Yuexiu,越秀站,居民区,51.7,93.1,17.5,24.0,124
2018-02-15,Baiyun,白云站,工业区,47.8,90.4,17.5,24.0,118
2018-02-16,Tianhe,天河站,商业区,41.2,69.2,17.5,24.0,109
2018-02-16,Yuexiu,越秀站,居民区,44.5,76.6,17.5,24.0,114
2018-02-16,Baiyun,白云站,工业区,57.0,110.1,17.5,24.0,131
2018-02-17,Tianhe,天河站,商业区,49.5,76.9,17.5,24.0,121
2018-02-17,Yuexiu,越秀站,居民区,58.1,81.9,17.5,24.0,133
2018-02-17,Baiyun,白云站,工业区,54.7,104.9,17.5,24.0,128
2018-02-18,Tianhe,天河站,商业区,41.7,69.8,17.5,24.0,110
2018-02-18,Yuexiu,越秀站,居民区,42.6,72.5,17.5,24.0,111
2018-02-18,Baiyun,白云站,工业区,51.0,100.6,17.5,24.0,123
2018-02-19,Tianhe,天河站,商业区,42.1,70.0,17.5,24.0,110
2018-02-19,Yuexiu,越秀站,居民区,49.9,93.0,17.5,24.0,121
2018-02-19,Baiyun,白云站,工业区,62.8,121.0,17.5,24.0,140
2018-02-20,Tianhe,天河站,商业区,35.0,59.1,17.5,24.0,100
2018-02-20,Yuexiu,越秀站,居民区,48.9,94.1,17.5,24.0,120
2018-02-20,Baiyun,白云站,工业区,55.8,101.8,17.5,24.0,130
2018-02-21,Tianhe,天河站,商业区,47.7,80.2,17.5,24.0,118
2018-02-21,Yuexiu,越秀站,居民区,47.6,83.8,17.5,24.0,118
2018-02-21,Baiyun,白云站,工业区,54.2,109.4,17.5,24.0,127
2018-02-22,Tianhe,天河站,商业区,45.0,88.2,17.5,24.0,114
2018-02-22,Yuexiu,越秀站,居民区,52.6,94.9,17.5,24.0,125
2018-02-22,Baiyun,白云站,工业区,61.7,107.3,17.5,24.0,138
2018-02-23,Tianhe,天河站,商业区,41.9,74.4,17.5,24.0,110
2018-02-23,Yuexiu,越秀站,居民区,44.6,85.7,17.5,24.0,114
2018-02-23,Baiyun,白云站,工业区,49.1,109.0,17.5,24.0,120
2018-02-24,Tianhe,天河站,商业区,34.0,52.9,17.5,24.0,99
2018-02-24,Yuexiu,越秀站,居民区,51.6,101.1,17.5,24.0,124
2018-02-24,Baiyun,白云站,工业区,61.2,117.9,17.5,24.0,137
